Country,Perc_2000,Perc_2005,Perc_2010,Perc_2015,Perc_2017,Perc_2018,Perc_2019,Perc_2020,Perc_2021,latitude,longitude
Netherlands,36,36.7,42,37.3,38,36,31.3,33.3,33.3,52.2456474,5.626966
New Zealand,29.2,28.3,33.6,31.4,34.2,38.3,40,40.8,48.3,-43.9858284,170.4809723
Nicaragua,9.7,20.7,20.7,39.1,45.7,45.7,44.6,47.3,48.4,12.8443527,-85.0319519
Niger,1.2,12.4,9.7,13.3,17,17,17,17,25.9,17.7356205,9.323843
Nigeria,,4.7,7,6.7,5.6,5.6,5.6,3.4,3.6,9.6000357,7.9999719
North Macedonia,7.5,19.2,32.5,33.3,31.7,37.5,38.3,40,39.2,41.6005554,21.7010479
Norway,36.4,38.2,39.6,39.6,39.6,41.4,40.8,41.4,44.4,62.1413536,9.6016293
Oman,,2.4,0,1.2,1.2,1.2,1.2,2.3,2.3,21.0000286,57.0036888
Pakistan,,21.3,22.2,20.7,20.6,20.6,20.2,20.2,20.2,29.3999748,68.8153381
Palau,0,0,0,0,12.5,12.5,12.5,12.5,6.3,7.4992161,134.5653992
Panama,9.7,16.7,8.5,19.3,18.3,18.3,18.3,22.5,22.5,8.5197258,-80.0885544
Papua New Guinea,1.8,0.9,0.9,2.7,2.7,0,0,0,0,-6.602757,144.2591705
Paraguay,2.5,10,12.5,15,13.8,13.8,15,16.3,15,-23.3165932,-58.1693459
Peru,10.8,18.3,27.5,22.3,27.7,27.7,30,30,26.2,-6.8699698,-75.0458527
Philippines,12.4,15.3,21,27.2,29.5,29.5,29.5,28,28,15.9474068,121.421669
Poland,13,20.2,20,24.1,28,28,29.1,28.7,28.3,52.1246681,19.4004269
Portugal,18.7,19.1,27.4,31.3,34.8,34.8,35.7,40,40,39.6821976,-7.9682908
Qatar,,,0,0,0,9.8,9.8,9.8,9.8,25.3336983,51.2295303
Republic of Korea,3.7,13,14.7,16.3,17,17,17.1,17.3,19,36.4382286,127.8328705
Republic of Moldova,8.9,15.8,23.8,20.8,22.8,22.8,22.8,24.8,24.8,47.2022171,28.465004
Romania,7.3,11.4,11.4,13.7,20.7,20.7,20.7,21.9,18.5,45.8397675,24.9845657
Russian Federation,7.7,9.8,14,13.6,15.8,15.8,15.8,15.8,15.8,61.6670265,99.0985642
Rwanda,17.1,48.8,56.3,63.8,61.3,61.3,61.3,61.3,61.3,-1.964663,30.064436
Saint Kitts and Nevis,13.3,0,6.7,6.7,13.3,13.3,13.3,20,25,17.3398323,-62.7656708
Saint Lucia,11.1,11.1,11.1,16.7,16.7,16.7,16.7,16.7,16.7,13.8250485,-60.9750366
Saint Vincent and the Grenadines,4.8,22.7,21.7,13,13,13,13,13,18.2,13.2514648,-61.1891098
Samoa,8.2,6.1,8.2,6.1,10,10,10,10,10,-13.6207809,-172.4469452
San Marino,13.3,16.7,16.7,16.7,26.7,26.7,25,31.7,33.3,43.9382591,12.4632444
Sao Tome and Principe,9.1,9.1,7.3,18.2,18.2,18.2,14.5,14.6,23.6,0.239403,6.602026
Saudi Arabia,,0,0,19.9,19.9,19.9,19.9,19.9,19.9,24.1262817,44.548214
Senegal,12.1,19.2,22.7,42.7,42.7,41.8,41.8,43,43,14.4750605,-14.452961
Serbia,,,21.6,34,34.4,34.4,37.7,37.7,39.2,44.2306023,20.7939949
Seychelles,23.5,29.4,23.5,43.8,21.2,21.2,21.2,21.2,22.9,-4.6574979,55.4540138
Sierra Leone,8.8,14.5,13.2,12.4,12.4,12.4,12.3,12.3,12.3,8.6400347,-11.8400269
Singapore,4.3,16,23.4,25.3,23.8,23,23,24,29.5,1.356389,103.8083191
Slovakia,12.7,16.7,18,18.7,20,20,20,20.7,22.7,48.7074776,19.4848061
Slovenia,7.8,12.2,14.4,36.7,36.7,36.7,24.4,27.8,26.7,46.1194763,14.8220034
Solomon Islands,2,0,0,2,2,2,2,6.1,8,-9.6223888,160.1595306
Somalia,,,6.9,13.8,24.2,24.4,24.4,24.4,24.4,8.3676767,49.083416
South Africa,30,32.8,44.5,41.5,42.2,42.4,42.7,46.4,45.8,-28.9963207,25.0871429
South Sudan,,,,26.5,28.5,28.5,28.5,28.5,28.5,7.8699431,29.66679
Spain,21.6,36,36.6,41.1,39.1,39.1,41.1,44,44,40.3901062,-3.5543799
Sri Lanka,4.9,4.9,5.8,5.8,5.8,5.8,5.3,5.3,5.4,7.5554938,80.7137833
Sudan,,,,24.3,30.5,30.5,27.7,,,14.5844441,29.4917698
Suriname,15.7,19.6,25.5,11.8,25.5,25.5,29.4,31.4,29.4,4.1413031,-56.0771179
Sweden,42.7,45.3,46.4,43.6,43.6,43.6,47.3,47,47,62.8386993,16.7430153
Switzerland,22.5,25,29,30.5,32.5,32.5,32.5,41.5,42,46.801239,8.2309656
Syrian Arab Republic,10.4,12,12.4,12.4,13.2,13.2,13.2,12.4,11.2,34.6401863,39.0494118
Tajikistan,2.8,12.7,17.5,16.9,19,19,19,19.1,23.8,38.6281738,70.8156509
Thailand,5.6,8.8,13.3,6.1,4.9,4.8,5.4,16.2,15.8,15.1317892,101.0183792
Timor-Leste,,25.3,29.2,38.5,38.5,32.3,40,38.5,38.5,-8.7982254,125.9489212
Togo,4.9,6.2,11.1,17.6,17.6,17.6,16.5,18.7,18.7,8.7800264,1.019976
Tonga,0,0,3.1,0,3.8,7.4,7.4,7.4,7.4,-21.1754799,-175.1902771
Trinidad and Tobago,11.1,19.4,26.8,28.6,31,31,31,31,26.2,10.7466908,-61.0840073
Tunisia,11.5,22.8,27.6,31.3,31.3,31.3,35.9,24.9,26.3,33.8439407,9.4001379
Turkey,4.2,4.4,9.1,14.4,14.9,14.6,17.4,17.3,17.3,38.9890938,35.4332428
Turkmenistan,26,,16.8,25.8,25.8,25.8,25,25,25,39.3763809,59.3924599
Tuvalu,0,0,0,6.7,6.7,6.7,6.7,6.3,6.3,-7.4725399,178.6731262
Uganda,17.9,23.9,31.5,35,34.3,34.3,34.9,34.9,34.9,1.533355,32.2166596
Ukraine,7.8,5.3,8,11.8,12.3,12.3,11.6,20.8,20.8,49.0100594,31.3969383
United Arab Emirates,0,0,22.5,17.5,20,22.5,22.5,50,50,24.000248,53.9994812
United Kingdom,18.4,18.1,19.5,22.8,30,32,32,33.9,33.9,53.9370766,-2.5180161
United Republic of Tanzania,22.2,21.4,30.7,36,36.4,37.2,36.9,36.9,36.7,-6.5247121,35.7878456
United States of America,13.3,14.9,16.8,19.4,19.1,19.5,23.6,23.4,27.3,39.5035667,-99.0183029
Uruguay,12.1,12.1,14.1,13.1,20.2,20.2,22.2,21.2,24.2,-32.8755531,-56.020153
Uzbekistan,6.8,17.5,22,16,16,16,16,32,32.7,41.3237305,63.9528084
Vanuatu,0,3.8,3.8,0,0,0,0,0,0,-15.2412538,166.8726044
Venezuela,12.1,9.7,17.5,17,22.2,22.2,22.2,22.2,22.2,8.0018711,-66.1109314
Vietnam,26,27.3,25.8,24.3,26.7,26.7,26.7,26.7,26.7,13.4233942,108.2566223
Yemen,0.7,0.3,0.3,0.3,0,0,0.3,0.3,0.3,16.3471241,47.8915253
Zambia,10.1,12,14,12.7,18,18,18,16.8,16.8,-14.5189123,27.5589886
Zimbabwe,14,10,15,31.5,32.6,33.2,31.9,31.9,31.9,-18.4554958,29.7468414
